program;is_drum;name;filepath
0;2;14923;92919
33;2;4475;34051
25;2;5008;32062
48;2;4545;32041
35;2;2772;27388
27;2;3358;20527
49;2;3118;19539
52;2;2970;17383
24;2;2796;17289
32;2;1952;17196
1;2;2131;15480
26;2;2459;15102
29;2;2624;13597
50;2;2120;13535
30;2;2673;12233
28;2;2056;12097
73;2;1946;11513
4;2;1625;11067
53;2;1773;9784
5;2;1372;9386
65;2;1499;9087
18;2;1151;8360
16;2;1278;7457
38;2;985;7341
81;2;1243;7321
61;2;1282;7295
54;2;1082;7175
11;2;1122;6584
89;2;1132;6556
56;2;1078;6040
66;2;892;5997
60;2;961;5970
39;2;849;5825
62;2;915;5424
40;2;1005;5352
2;2;790;5311
75;2;861;5280
34;2;754;5183
57;2;823;5047
88;2;836;4904
17;2;821;4703
68;2;724;4662
87;2;808;4630
119;2;826;4568
82;2;650;4340
71;2;839;4328
90;1;661;4284
46;2;619;3750
8;2;650;3630
80;2;736;3569
51;2;611;3370
22;2;581;3269
6;2;549;3177
45;2;578;2883
7;2;446;2632
47;2;398;2606
3;2;501;2587
99;2;441;2557
63;2;469;2531
42;2;379;2502
100;2;549;2454
94;1;334;2453
91;2;419;2389
95;1;443;2319
72;2;377;2008
64;2;419;1996
9;2;368;1984
44;2;391;1815
127;2;241;1810
70;2;305;1806
21;2;396;1790
118;2;317;1781
67;2;336;1758
85;1;376;1713
43;2;279;1704
58;2;263;1621
12;2;307;1576
19;2;281;1547
37;2;253;1545
36;2;281;1537
10;2;323;1479
74;1;287;1457
41;2;264;1414
84;2;257;1381
105;2;179;1320
120;2;263;1269
78;1;245;1268
55;2;263;1261
79;2;281;1233
14;2;222;1219
122;1;236;1157
93;1;230;1119
69;2;206;1041
102;2;255;1002
31;2;250;951
104;2;144;908
103;1;180;864
116;2;181;861
20;2;168;818
98;2;163;810
59;1;236;800
23;2;156;793
77;2;192;791
96;2;146;778
110;2;149;752
92;2;186;740
117;2;153;732
108;1;113;674
126;2;156;643
114;2;172;618
106;2;107;589
83;1;135;585
115;2;148;580
13;2;114;537
112;2;81;471
107;1;127;458
125;2;104;456
76;2;115;435
15;2;92;413
124;2;131;396
113;2;66;343
101;2;89;313
97;2;68;288
121;2;52;266
86;2;68;231
109;1;57;227
123;2;52;214
111;1;34;144
program;1;1;1
